Course,Semester,Fee_Head,Category_Condition,Amount_Due,Admission_Year
B. Pharm,1,Hostel_Refundable_Deposit,Sem_1,10000,Default
B. Pharm,1,Gymkhana_Fee,Default,0,Default
B. Pharm,1,Travelling_Fee,Travel_City,20000,Default
B. Pharm,1,Travelling_Fee,Travel_Outside,23000,Default
B. Pharm,1,Travelling_Fee,None,0,Default
B. Pharm,2,Tuition_fee,Default,41343,Default
B. Pharm,2,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,2,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,2,Hostel_fee,None,0,Default
B. Pharm,2,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,2,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,2,Gymkhana_Fee,Default,0,Default
B. Pharm,2,Travelling_Fee,Travel_City,0,Default
B. Pharm,2,Travelling_Fee,Travel_Outside,0,Default
B. Pharm,2,Travelling_Fee,None,0,Default
B. Pharm,3,Tuition_fee,Default,41344,Default
B. Pharm,3,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,3,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,3,Hostel_fee,None,0,Default
B. Pharm,3,College_Refundable_Deposit,Sem_1,0,2025
B. Pharm,3,Hostel_Refundable_Deposit,Sem_1,0,2025
B. Pharm,3,Gymkhana_Fee,Default,0,Default
B. Pharm,3,Travelling_Fee,Travel_City,20000,Default
B. Pharm,3,Travelling_Fee,Travel_Outside,23000,Default
B. Pharm,3,Travelling_Fee,None,0,Default
B. Pharm,4,Tuition_fee,Default,41343,Default
B. Pharm,4,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,4,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,4,Hostel_fee,None,0,Default
B. Pharm,4,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,4,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,4,Gymkhana_Fee,Default,0,Default
B. Pharm,4,Travelling_Fee,Travel_City,0,Default
B. Pharm,4,Travelling_Fee,Travel_Outside,0,Default
B. Pharm,4,Travelling_Fee,None,0,Default
B. Pharm,5,Tuition_fee,Default,41344,Default
B. Pharm,5,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,5,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,5,Hostel_fee,None,0,Default
B. Pharm,5,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,5,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,5,Gymkhana_Fee,Default,0,Default
B. Pharm,5,Travelling_Fee,Travel_City,20000,Default
B. Pharm,5,Travelling_Fee,Travel_Outside,23000,Default
B. Pharm,5,Travelling_Fee,None,0,Default
B. Pharm,6,Tuition_fee,Default,41343,Default
B. Pharm,6,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,6,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,6,Hostel_fee,None,0,Default
B. Pharm,6,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,6,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,6,Gymkhana_Fee,Default,0,Default
B. Pharm,6,Travelling_Fee,Travel_City,0,Default
B. Pharm,6,Travelling_Fee,Travel_Outside,0,Default
B. Pharm,6,Travelling_Fee,None,0,Default
B. Pharm,7,Tuition_fee,Default,41344,Default
B. Pharm,7,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,7,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,7,Hostel_fee,None,0,Default
B. Pharm,7,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,7,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,7,Gymkhana_Fee,Default,0,Default
B. Pharm,7,Travelling_Fee,Travel_City,20000,Default
B. Pharm,7,Travelling_Fee,Travel_Outside,23000,Default
B. Pharm,7,Travelling_Fee,None,0,Default
B. Pharm,8,Tuition_fee,Default,41343,Default
B. Pharm,8,Hostel_fee,Hostel_AC,50000,Default
B. Pharm,8,Hostel_fee,Hostel_NonAC,42500,Default
B. Pharm,8,Hostel_fee,None,0,Default
B. Pharm,8,College_Refundable_Deposit,Sem_1,0,Default
B. Pharm,8,Hostel_Refundable_Deposit,Sem_1,0,Default
B. Pharm,8,Gymkhana_Fee,Default,0,Default
B. Pharm,8,Travelling_Fee,Travel_City,0,Default
B. Pharm,8,Travelling_Fee,Travel_Outside,0,Default
B. Pharm,8,Travelling_Fee,None,0,Default
M. Pharm,1,Tuition_fee,Govt_Quota,77175,2025
M. Pharm,1,Tuition_fee,Management_Quota,55000,2025
M. Pharm,1,Hostel_fee,Hostel_AC,50000,Default
M. Pharm,1,Hostel_fee,Hostel_NonAC,42500,Default
M. Pharm,1,Hostel_fee,None,0,Default
M. Pharm,1,College_Refundable_Deposit,Sem_1,25000,Default
M. Pharm,1,Hostel_Refundable_Deposit,Sem_1,25000,Default
M. Pharm,1,Gymkhana_Fee,Default,0,Default
M. Pharm,1,Travelling_Fee,Travel_City,20000,Default
M. Pharm,1,Travelling_Fee,Travel_Outside,23000,Default
M. Pharm,1,Travelling_Fee,None,0,Default
M. Pharm,2,Tuition_fee,Govt_Quota,77175,2025
M. Pharm,2,Tuition_fee,Management_Quota,55000,2025
M. Pharm,2,Hostel_fee,Hostel_AC,50000,Default
M. Pharm,2,Hostel_fee,Hostel_NonAC,42500,Default
M. Pharm,2,Hostel_fee,None,0,Default
M. Pharm,2,College_Refundable_Deposit,Sem_1,0,Default
M. Pharm,2,Hostel_Refundable_Deposit,Sem_1,0,Default
M. Pharm,2,Gymkhana_Fee,Default,0,Default
M. Pharm,2,Travelling_Fee,Travel_City,0,Default
M. Pharm,2,Travelling_Fee,Travel_Outside,0,Default
M. Pharm,2,Travelling_Fee,None,0,Default
M. Pharm,3,Tuition_fee,Govt_Quota,77175,2025
M. Pharm,3,Tuition_fee,Management_Quota,55000,2025
M. Pharm,3,Hostel_fee,Hostel_AC,50000,Default
M. Pharm,3,Hostel_fee,Hostel_NonAC,42500,Default
M. Pharm,3,Hostel_fee,None,0,Default
M. Pharm,3,College_Refundable_Deposit,Sem_1,0,Default
M. Pharm,3,Hostel_Refundable_Deposit,Sem_1,0,Default
M. Pharm,3,Gymkhana_Fee,Default,0,Default
M. Pharm,3,Travelling_Fee,Travel_City,20000,Default
M. Pharm,3,Travelling_Fee,Travel_Outside,23000,Default
M. Pharm,3,Travelling_Fee,None,0,Default
M. Pharm,4,Tuition_fee,Govt_Quota,77175,2025
M. Pharm,4,Tuition_fee,Management_Quota,55000,2025
M. Pharm,4,Hostel_fee,Hostel_AC,50000,Default
M. Pharm,4,Hostel_fee,Hostel_NonAC,42500,Default
M. Pharm,4,Hostel_fee,None,0,Default
M. Pharm,4,College_Refundable_Deposit,Sem_1,0,Default
M. Pharm,4,Hostel_Refundable_Deposit,Sem_1,0,Default
M. Pharm,4,Gymkhana_Fee,Default,0,Default
M. Pharm,4,Travelling_Fee,Travel_City,0,Default
M. Pharm,4,Travelling_Fee,Travel_Outside,0,Default
M. Pharm,4,Travelling_Fee,None,0,Default
B. Pharm,1,Tuition_fee,Default,37500,2022
B. Pharm,1,College_Refundable_Deposit,Sem_1,10000,2022
B. Pharm,1,Travelling_Fee,Travel_City,15000,2022
B. Pharm,2,Tuition_fee,Default,37500,2022
B. Pharm,3,Tuition_fee,Default,37500,2022
B. Pharm,3,Travelling_Fee,Travel_City,15000,2022
B. Pharm,4,Tuition_fee,Default,37500,2022
B. Pharm,5,Tuition_fee,Default,37500,2022
B. Pharm,5,Travelling_Fee,Travel_City,15000,2022
B. Pharm,6,Tuition_fee,Default,37500,2022
B. Pharm,7,Tuition_fee,Default,37500,2022
B. Pharm,8,Tuition_fee,Default,37500,2022
B. Pharm,1,Tuition_fee,Default,45500,2026
B. Pharm,1,College_Refundable_Deposit,Sem_1,25000,2026
B. Pharm,2,Tuition_fee,Default,45500,2026
B. Pharm,3,Tuition_fee,Default,45500,2026
B. Pharm,4,Tuition_fee,Default,45500,2026
B. Pharm,5,Tuition_fee,Default,45500,2026
B. Pharm,6,Tuition_fee,Default,45500,2026
B. Pharm,7,Tuition_fee,Default,45500,2026
B. Pharm,8,Tuition_fee,Default,45500,2026
M. Pharm,1,Tuition_fee,Govt_Quota,81000,2026
M. Pharm,1,College_Refundable_Deposit,Sem_1,25000,2026
M. Pharm,1,Tuition_fee,Management_Quota,68500,2026
M. Pharm,2,Tuition_fee,Govt_Quota,81000,2026
M. Pharm,2,Tuition_fee,Management_Quota,68500,2026
M. Pharm,3,Tuition_fee,Govt_Quota,81000,2026
M. Pharm,3,Tuition_fee,Management_Quota,68500,2026
M. Pharm,4,Tuition_fee,Govt_Quota,81000,2026
M. Pharm,4,Tuition_fee,Management_Quota,68500,2026
